,VISITOR_ID,purchase_count,mean_price,min_price,max_price,median_weekday,median_hour,median_repeat_purchase_duration
0,c6a9c26d7910ca9daf97a9418798877e1d79f6daba5e2268980cd4efac0ea0a6,0,0.0,0.0,0.0,0.0,0.0,0.0
1,b50db78c4459d75a734cdc8b15bff9ad665ac55a8bb5d8a0560640195cbadeab,0,0.0,0.0,0.0,0.0,0.0,0.0
2,67f65c24a22a496c12c8af56f175e3a6c268ff8527af3961812b1dfeeae2392d,1,33.95,33.95,33.95,4.0,17.0,0.0
3,1168fa28d9c9720268efa50a1f88cf50c25fd9f1ebbcf7d231e4f3686a8e8286,0,0.0,0.0,0.0,0.0,0.0,0.0
4,a3f731c129f76663acf4c5ed992c541fc75a3ef79ccf3df8b497c71f5aa6d039,0,0.0,0.0,0.0,0.0,0.0,0.0
5,cf4aa7df7a84641141299a2a389546265f244a26aabc62b93b660cea34a36172,0,0.0,0.0,0.0,0.0,0.0,0.0
6,8d06041979236b681b222d882ee2b333d08c11f1ec6a09825e7a18f40665fe00,0,0.0,0.0,0.0,0.0,0.0,0.0
7,89a36e129209c8f24067b168ea225420fdf6dc2da1b2a07a357a5d825719b381,0,0.0,0.0,0.0,0.0,0.0,0.0
8,e3d8633d91c7736f008cc9546ca939bd3777362493068d01b2b4518ec9cdef06,1,19.0,19.0,19.0,5.0,5.0,0.0
9,041e9624206df4c0bd66408f07f07120194cd811d78bdc001570300cb4da473c,0,0.0,0.0,0.0,0.0,0.0,0.0
10,1df1650d338dda32735d5ed67115663df4e067225edc7b9911ef5ab9b6a9cd87,0,0.0,0.0,0.0,0.0,0.0,0.0
11,d4320b45516e5c39839860547d10f0fcdaa2aa67720abb00d347a418dc172f61,0,0.0,0.0,0.0,0.0,0.0,0.0
12,7472c05e42e333c8724f170e6e879eee86653209e33d244c11a3bf184c5062b0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,21310177be2d55973124a05fc3a719057a02bddada22cdc5752e874fc209b6a8,0,0.0,0.0,0.0,0.0,0.0,0.0
14,aaf59307d92baa63bf14411bfa6e23a1479bf7f3c926ad32a5379daf6a8afe8d,0,0.0,0.0,0.0,0.0,0.0,0.0
15,245509f2b8dd791d476a81ffc1819ac8b112b02a7d7446c2c7e45f1b4c76de15,0,0.0,0.0,0.0,0.0,0.0,0.0
16,cefa88b38b002163b284f4952e41e7586089965148b343593a6f20eb5d234734,0,0.0,0.0,0.0,0.0,0.0,0.0
17,ce054933746ccf88744b9f8733d485623217449a75ce9fa8c10f15263e4b6a89,0,0.0,0.0,0.0,0.0,0.0,0.0
18,5681388e1c5741785ffd3c889e85740772b2ff532662ec66ee2be12096bcd456,0,0.0,0.0,0.0,0.0,0.0,0.0
19,70893994681bc3f14d2e0fd16bee379b3b5b4a20122dfa1ba49b4942004a5906,0,0.0,0.0,0.0,0.0,0.0,0.0
20,dea1ccbaf2f1acfca6756d427f9e4bea89b17082443ca3412928aab6f766a8b7,0,0.0,0.0,0.0,0.0,0.0,0.0
21,ef3b39702dfb269c4e8cada3e3223aa8a1124f4486d838b44820379be3a39b6e,0,0.0,0.0,0.0,0.0,0.0,0.0
22,6811f24434235f1b701e1c94c156bde16d584243e5ada571a567dbd6a3e68eb9,0,0.0,0.0,0.0,0.0,0.0,0.0
23,970e591b9f3dfcfea5675dc74896ec2043b6163fb6875edc8d54d27e0e494ff0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,13b9fc610e31cf0a16091bed7f240922bec1d7e35dd52214ca41e62821e79673,0,0.0,0.0,0.0,0.0,0.0,0.0
25,ea46d37d6ac68c43e5da9a68aa1abcfe66644409d911e756d365aac709540e4c,0,0.0,0.0,0.0,0.0,0.0,0.0
26,6e4dc224b794e066bfdef1e18bc631445ee44f7f58ba240b2e976b4144eba715,2,51.5,40.61,62.39,2.0,6.0,16.0
27,9ce083621c2fa6a4585d1be8cb64547db890569bb5b0cc974f68ed1b235b1f59,0,0.0,0.0,0.0,0.0,0.0,0.0
28,80f2529b717d94acc94a4f4a03a16b437aa83bc0b82c3003390cefee4b106842,2,55.955,37.91,74.0,2.0,8.0,67.0
29,b8c692d18e913f81599aa1c6aa5c3fb9a39aab2a9e9fcdbfd0ec7504d30a9464,0,0.0,0.0,0.0,0.0,0.0,0.0
30,b062a17d39c3e01791b186e35826f6d4d98734eb64cf60af2dd4290b26b58bfc,0,0.0,0.0,0.0,0.0,0.0,0.0
31,8688b7a064ddf2e3207add40f0885dc64c4a9e031b62f3d398d616bc1c45a456,0,0.0,0.0,0.0,0.0,0.0,0.0
